location,date,people_fully_vaccinated_per_hundred
US,2020-08-09,0.0
US,2020-08-10,0.11223035132347997
US,2020-08-11,0.21600973186727465
US,2020-08-12,0.4330980077410421
US,2020-08-13,0.2929470896958594
US,2020-08-14,0.2793614671871657
US,2020-08-15,0.6920970418287259
US,2020-08-16,0.8681209881656983
US,2020-08-17,0.6265568046460406
US,2020-08-18,0.9637635878457022
US,2020-08-19,0.5595360655341506
US,2020-08-20,1.6060493252851178
US,2020-08-21,0.7319099679590024
US,2020-08-22,0.7378416969975945
US,2020-08-23,0.7617542232924667
US,2020-08-24,1.390907859755029
US,2020-08-25,0.9554555895315041
US,2020-08-26,2.115902009624478
US,2020-08-27,2.51797348912753
US,2020-08-28,1.4444159714172284
US,2020-08-29,2.2575462385027976
US,2020-08-30,1.1389107387248174
US,2020-08-31,1.9504418377241497
US,2020-09-01,1.8237668608837754
US,2020-09-02,1.7486858314568612
US,2020-09-03,2.861808724071748
US,2020-09-04,1.6385926605321943
US,2020-09-05,3.6739184129018687
US,2020-09-06,3.261540537832457
US,2020-09-07,3.5111320181953682
US,2020-09-08,4.306032925973004
US,2020-09-09,4.4713559016577955
US,2020-09-10,3.3652874362215544
US,2020-09-11,3.2847533970437355
US,2020-09-12,2.8402974679714945
US,2020-09-13,4.254500635708639
US,2020-09-14,3.737551993127326
US,2020-09-15,5.301637795038461
US,2020-09-16,2.8067786051079007
US,2020-09-17,3.159985476376914
US,2020-09-18,3.264361789679875
US,2020-09-19,5.3545936636825
US,2020-09-20,2.51596939373704
US,2020-09-21,4.109291220252613
US,2020-09-22,4.081355242681409
US,2020-09-23,2.579128294561914
US,2020-09-24,4.189666193303997
US,2020-09-25,4.762876521434712
US,2020-09-26,2.712502524023584
US,2020-09-27,4.94832442937887
US,2020-09-28,7.296189523417004
US,2020-09-29,7.542463048123813
US,2020-09-30,5.364734848667018
US,2020-10-01,5.380013742795683
US,2020-10-02,4.241744098648514
US,2020-10-03,8.234135094416558
US,2020-10-04,4.335683357741266
US,2020-10-05,5.431537412507751
US,2020-10-06,2.917017535255524
US,2020-10-07,5.010470516363907
US,2020-10-08,3.4286418036529436
US,2020-10-09,7.587331099349306
US,2020-10-10,6.57828960878558
US,2020-10-11,6.754682826912236
US,2020-10-12,5.033672229758099
US,2020-10-13,8.54682588664433
US,2020-10-14,3.321588107186251
US,2020-10-15,5.585127900400087
US,2020-10-16,7.8845829351203
US,2020-10-17,9.714665508176752
US,2020-10-18,5.1423116984766315
US,2020-10-19,7.391810367264668
US,2020-10-20,7.473538227839911
US,2020-10-21,10.031472894019007
US,2020-10-22,4.073824982742834
US,2020-10-23,6.9335667080303045
US,2020-10-24,5.1867391284186795
US,2020-10-25,4.015801022299205
US,2020-10-26,5.046841336059766
US,2020-10-27,11.664118315500772
US,2020-10-28,5.718788076162143
US,2020-10-29,11.623749264019978
US,2020-10-30,5.783085609573722
US,2020-10-31,11.87975038729122
US,2020-11-01,9.698815855682641
US,2020-11-02,5.212357908766378
US,2020-11-03,9.304470334088569
US,2020-11-04,7.121072126600423
US,2020-11-05,7.771747772607018
US,2020-11-06,8.36752152473126
US,2020-11-07,8.304363202773011
US,2020-11-08,10.593390903395564
US,2020-11-09,11.66898623103502
US,2020-11-10,7.711352509570428
US,2020-11-11,13.389021239845482
US,2020-11-12,13.665429983179326
US,2020-11-13,5.190628196650977
US,2020-11-14,4.994615252165279
US,2020-11-15,9.065650035480397
US,2020-11-16,10.797387984777819
US,2020-11-17,7.779047474520616
US,2020-11-18,7.67007888596632
US,2020-11-19,12.019005063033745
US,2020-11-20,11.347554131952368
US,2020-11-21,6.93832749992834
US,2020-11-22,14.53726011428417
US,2020-11-23,12.50774634370734
